id	species	x	y	year
GBIF_1	Paratrigona impunctata	-58.215	6.493333	2001
GBIF_34	Paratrigona impunctata	-66.683333	-0.316667	1999
GBIF_35	Paratrigona impunctata	-62.782806	-11.176639	1997
GBIF_36	Paratrigona impunctata	-76.459722	-0.470556	1994
GBIF_61	Paratrigona impunctata	-69.02298	-12.53714	1990
GBIF_62	Paratrigona impunctata	-59.983333	-3.066667	1989
GBIF_115	Paratrigona impunctata	-51.83333	3.83333	1959
GBIF_128	Paratrigona impunctata	-57.966667	-2.55	NA
GBIF_168	Paratrigona impunctata	-67.26625	-5.00825	NA
GBIF_237	Paratrigona impunctata	-49.264722	-8.257778	NA
GBIF_238	Paratrigona impunctata	-51.835	3.843056	NA
GBIF_246	Paratrigona impunctata	-60.025	-3.101944	NA
GBIF_249	Paratrigona impunctata	-47.180833	-1.195833	NA
GBIF_250	Paratrigona impunctata	-61.666667	3.416667	NA
GBIF_264	Paratrigona impunctata	-66.793333	-0.203611	NA
GBIF_268	Paratrigona impunctata	-65.488889	-0.333889	NA
GBIF_271	Paratrigona impunctata	-65.016667	-0.416667	NA
GBIF_279	Paratrigona impunctata	-62.183889	-1.316389	NA
GBIF_293	Paratrigona impunctata	-62.874444	-11.108889	NA
GBIF_298	Paratrigona impunctata	-64.126667	-10.436944	NA
GBIF_299	Paratrigona impunctata	-64.033333	-12.283333	NA
GBIF_301	Paratrigona impunctata	-62.833333	-11.816667	NA
GBIF_302	Paratrigona impunctata	-62.716667	-11.933333	NA
GBIF_304	Paratrigona impunctata	-61.916667	-11.616667	NA
GBIF_310	Camargoia camargoi	-52.702778	-6.207222	NA
GBIF_311	Camargoia camargoi	-66.692556	0.317028	NA
GBIF_329	Camargoia nordestina	-46.366667	-12.533333	1995
GBIF_539	Camargoia nordestina	-44.583333	-8.95	NA
GBIF_627	Camargoia nordestina	-45.183333	-11.233333	NA
GBIF_630	Camargoia nordestina	-43.141667	-11.089444	NA
GBIF_640	Camargoia pilicornis	-47.491667	-5.526389	NA
GBIF_642	Trigonisca euclydiana	-73.674444	-7.443333	1996
GBIF_650	Trigonisca longicornis	-60.133333	-12.733333	1983
GBIF_659	Trigonisca longicornis	-56.133333	-13.833333	NA
GBIF_714	Trigonisca longicornis	-52.250833	-15.8975	NA
GBIF_748	Trigonisca longicornis	-54.968333	-15.965278	NA
GBIF_749	Trigonisca longicornis	-54.635556	-16.470833	NA
GBIF_751	Trigonisca longicornis	-63.903333	-8.762222	NA
GBIF_755	Trigonisca longicornis	-52.25	-15.883333	NA
GBIF_798	Trigonisca longicornis	-55.416667	-3.666667	NA
GBIF_799	Trigonisca longicornis	-57.033333	-1.066667	NA
GBIF_800	Trigonisca longicornis	-66.816667	-0.216667	NA
GBIF_817	Trigonisca longicornis	-60.025	-3.101944	NA
GBIF_839	Trigonisca longicornis	-57.233333	-15.45	NA
GBIF_844	Trigonisca longicornis	-66.183333	-3.75	NA
GBIF_845	Trigonisca longicornis	-52.353056	-14.673333	NA
GBIF_848	Trigonisca longicornis	-56.066667	-13.816667	NA
GBIF_883	Trigonisca longicornis	-62.883333	-11.166667	NA
GBIF_886	Trigonisca longicornis	-62.681111	-10.943611	NA
GBIF_895	Trigonisca longicornis	-62.85	-11.166667	NA
GBIF_897	Trigonisca longicornis	-60.833333	-13.266667	NA
GBIF_898	Trigonisca longicornis	-64.75	-10.55	NA
GBIF_902	Cephalotrigona capitata	-83.699988	9.383338	2002
GBIF_904	Cephalotrigona capitata	-84.338333	10.973333	2002
GBIF_911	Cephalotrigona capitata	-85.953333	11.708333	2002
GBIF_914	Cephalotrigona capitata	-47.566667	-20.15	2002
GBIF_919	Cephalotrigona capitata	-58.684444	4.671944	2001
GBIF_920	Cephalotrigona capitata	-52.316667	-22.383333	1999
GBIF_921	Cephalotrigona capitata	-76.459722	-0.470556	1999
GBIF_923	Cephalotrigona capitata	-46.9167	-22.7167	1999
GBIF_926	Cephalotrigona capitata	-44.9597	-23.0744	1999
GBIF_958	Cephalotrigona capitata	-47.7044	-21.555	1996
GBIF_981	Cephalotrigona capitata	-85.053213	10.681199	1993
GBIF_983	Cephalotrigona capitata	-45.8464	-23.5322	1992
GBIF_984	Cephalotrigona capitata	-47.3042	-21.2753	1991
GBIF_991	Cephalotrigona capitata	-66.300683	-14.640067	1988
GBIF_1005	Cephalotrigona capitata	-66.2844	-14.6384	1988
GBIF_1007	Cephalotrigona capitata	-47.8002	-21.1851	1985
GBIF_1008	Cephalotrigona capitata	-46.9394	-19.5992	1985
GBIF_1050	Cephalotrigona capitata	-73.34833	4.50712	1977
GBIF_1068	Cephalotrigona capitata	-96.719447	18.515833	1971
GBIF_1069	Cephalotrigona capitata	-52.383333	-27.183333	1967
GBIF_1079	Cephalotrigona capitata	-83.68352	9.90467	1965
GBIF_1095	Cephalotrigona capitata	-45.43465	-21.55975	1960
GBIF_1098	Cephalotrigona capitata	-51.83333	3.83333	1959
GBIF_1121	Cephalotrigona capitata	-46.9578	-22.4319	1956
GBIF_1127	Cephalotrigona capitata	-47.1961	-22.6458	1954
GBIF_1135	Cephalotrigona capitata	-51.2311	-22.7803	1954
GBIF_1195	Cephalotrigona capitata	-76.150361	-0.636917	NA
GBIF_1197	Cephalotrigona capitata	-73.250556	10.476944	NA
GBIF_1202	Cephalotrigona capitata	-67.766667	-15.416667	NA
GBIF_1203	Cephalotrigona capitata	-56.510833	-25.766111	NA
GBIF_1204	Cephalotrigona capitata	-76.616667	-0.445833	NA
GBIF_1205	Cephalotrigona capitata	-44.566667	-19.716667	NA
GBIF_1207	Cephalotrigona capitata	-54.624444	-25.526111	NA
GBIF_1210	Cephalotrigona capitata	-46.866667	-23.183333	NA
GBIF_1211	Cephalotrigona capitata	-46.616667	-23.533333	NA
GBIF_1215	Cephalotrigona capitata	-49.05	-26.933333	NA
GBIF_1216	Cephalotrigona capitata	-47.933333	-19.773056	NA
