id	species	x	y
GBIF_1	Paratrigona impunctata	-58.215	6.493333
GBIF_34	Paratrigona impunctata	-66.683333	-0.316667
GBIF_35	Paratrigona impunctata	-62.782806	-11.176639
GBIF_36	Paratrigona impunctata	-76.459722	-0.470556
GBIF_61	Paratrigona impunctata	-69.02298	-12.53714
GBIF_62	Paratrigona impunctata	-59.983333	-3.066667
GBIF_115	Paratrigona impunctata	-51.83333	3.83333
GBIF_128	Paratrigona impunctata	-57.966667	-2.55
GBIF_168	Paratrigona impunctata	-67.26625	-5.00825
GBIF_237	Paratrigona impunctata	-49.264722	-8.257778
GBIF_238	Paratrigona impunctata	-51.835	3.843056
GBIF_246	Paratrigona impunctata	-60.025	-3.101944
GBIF_249	Paratrigona impunctata	-47.180833	-1.195833
GBIF_250	Paratrigona impunctata	-61.666667	3.416667
GBIF_264	Paratrigona impunctata	-66.793333	-0.203611
GBIF_268	Paratrigona impunctata	-65.488889	-0.333889
GBIF_271	Paratrigona impunctata	-65.016667	-0.416667
GBIF_279	Paratrigona impunctata	-62.183889	-1.316389
GBIF_293	Paratrigona impunctata	-62.874444	-11.108889
GBIF_298	Paratrigona impunctata	-64.126667	-10.436944
GBIF_299	Paratrigona impunctata	-64.033333	-12.283333
GBIF_301	Paratrigona impunctata	-62.833333	-11.816667
GBIF_302	Paratrigona impunctata	-62.716667	-11.933333
GBIF_304	Paratrigona impunctata	-61.916667	-11.616667
GBIF_329	Camargoia nordestina	-46.366667	-12.533333
GBIF_539	Camargoia nordestina	-44.583333	-8.95
GBIF_627	Camargoia nordestina	-45.183333	-11.233333
GBIF_630	Camargoia nordestina	-43.141667	-11.089444
GBIF_650	Trigonisca longicornis	-60.133333	-12.733333
GBIF_659	Trigonisca longicornis	-56.133333	-13.833333
GBIF_714	Trigonisca longicornis	-52.250833	-15.8975
GBIF_748	Trigonisca longicornis	-54.968333	-15.965278
GBIF_749	Trigonisca longicornis	-54.635556	-16.470833
GBIF_751	Trigonisca longicornis	-63.903333	-8.762222
GBIF_755	Trigonisca longicornis	-52.25	-15.883333
GBIF_798	Trigonisca longicornis	-55.416667	-3.666667
GBIF_799	Trigonisca longicornis	-57.033333	-1.066667
GBIF_800	Trigonisca longicornis	-66.816667	-0.216667
GBIF_817	Trigonisca longicornis	-60.025	-3.101944
GBIF_839	Trigonisca longicornis	-57.233333	-15.45
GBIF_844	Trigonisca longicornis	-66.183333	-3.75
GBIF_845	Trigonisca longicornis	-52.353056	-14.673333
GBIF_848	Trigonisca longicornis	-56.066667	-13.816667
GBIF_883	Trigonisca longicornis	-62.883333	-11.166667
GBIF_886	Trigonisca longicornis	-62.681111	-10.943611
GBIF_895	Trigonisca longicornis	-62.85	-11.166667
GBIF_897	Trigonisca longicornis	-60.833333	-13.266667
GBIF_898	Trigonisca longicornis	-64.75	-10.55
GBIF_1224	Cephalotrigona femorata	-62.7168	-11.69384
GBIF_1225	Cephalotrigona femorata	-62.6109	-10.850433
GBIF_1226	Cephalotrigona femorata	-59.727778	-2.407222
GBIF_1227	Cephalotrigona femorata	-52.6273	-9.7192
GBIF_1229	Cephalotrigona femorata	-52.702778	-6.207222
GBIF_1233	Cephalotrigona femorata	-55.504444	-11.8645
GBIF_1234	Trigonisca browni	-62.13255	-11.925367
GBIF_1236	Trigonisca browni	-67.81	-9.974722
GBIF_1237	Trigonisca browni	-66.602778	-9.798889
GBIF_1238	Trigonisca browni	-62.667222	-10.848611
GBIF_1239	Trigonisca browni	-63.436111	-10.345556
